Day,Colony,Treatment,Tub,Extension,Color
9,53,Ambient,2,0,80
9,59,Ambient,2,20,60
9,1,Ambient,3,20,60
9,2,Ambient,3,80,80
9,5,Ambient,3,80,80
9,12,Ambient,3,20,80
9,19,Ambient,3,0,100
9,21,Ambient,3,20,100
9,26,Ambient,3,0,100
9,27,Ambient,3,0,100
9,28,Ambient,3,60,80
9,29,Ambient,3,20,100
9,30,Ambient,3,20,60
9,33,Ambient,3,40,0
9,51,Ambient,3,40,60
9,55,Ambient,3,20,80
9,1,High,1,0,80
9,2,High,1,0,60
9,5,High,1,0,80
9,17,High,1,0,100
9,20,High,1,0,100
9,23,High,1,0,80
9,24,High,1,0,100
9,29,High,1,40,80
9,32,High,1,40,100
9,33,High,1,0,0
9,34,High,1,0,100
9,4,High,2,20,100
9,7,High,2,20,60
9,10,High,2,80,60
9,14,High,2,20,40
9,19,High,2,0,100
9,22,High,2,20,80
9,25,High,2,20,80
9,26,High,2,20,60
9,27,High,2,0,100
9,28,High,2,0,80
9,31,High,2,60,80
9,46,High,2,0,100
9,48,High,2,0,80
9,50,High,2,40,60
9,52,High,2,0,80
9,54,High,2,0,100
9,58,High,2,40,80
9,60,High,2,100,40
9,3,High,3,20,100
9,6,High,3,0,80
9,8,High,3,20,60
9,9,High,3,60,80
9,11,High,3,0,80
9,12,High,3,80,80
9,13,High,3,0,100
9,15,High,3,20,80
9,16,High,3,20,80
9,18,High,3,80,100
9,21,High,3,0,100
9,30,High,3,0,100
9,35,High,3,0,100
9,44,High,3,0,20
9,56,High,3,0,100
10,4,Ambient,1,0,80
10,6,Ambient,1,0,80
10,7,Ambient,1,0,80
10,10,Ambient,1,80,80
10,11,Ambient,1,0,80
10,16,Ambient,1,0,80
10,17,Ambient,1,0,100
10,22,Ambient,1,0,80
10,23,Ambient,1,0,40
10,25,Ambient,1,20,100
10,34,Ambient,1,0,100
10,35,Ambient,1,60,80
10,49,Ambient,1,20,100
10,57,Ambient,1,0,80
10,3,Ambient,2,80,80
10,8,Ambient,2,0,80
10,9,Ambient,2,80,80
10,13,Ambient,2,80,100
10,14,Ambient,2,60,100
10,15,Ambient,2,20,80
10,18,Ambient,2,40,100
10,20,Ambient,2,40,60
10,24,Ambient,2,40,100
10,31,Ambient,2,60,60
10,32,Ambient,2,80,100
10,47,Ambient,2,60,60
10,53,Ambient,2,40,80
10,59,Ambient,2,100,80
10,1,Ambient,3,60,80
10,2,Ambient,3,100,60
10,5,Ambient,3,100,60
10,12,Ambient,3,80,60
10,19,Ambient,3,0,80
10,21,Ambient,3,40,100
10,26,Ambient,3,60,80
10,27,Ambient,3,20,100
10,28,Ambient,3,60,60
10,29,Ambient,3,80,80
10,30,Ambient,3,0,80
10,33,Ambient,3,80,0
10,51,Ambient,3,80,60
10,55,Ambient,3,80,80
10,1,High,1,0,80
10,2,High,1,0,60
10,5,High,1,20,80
10,17,High,1,0,100
10,20,High,1,0,80
10,23,High,1,0,80
10,24,High,1,0,100
10,29,High,1,20,80
10,32,High,1,60,80
10,33,High,1,0,0
10,34,High,1,0,100
10,4,High,2,20,100
10,7,High,2,20,80
10,10,High,2,80,80
10,14,High,2,0,60
10,19,High,2,0,100
10,22,High,2,20,80
10,25,High,2,20,80
10,26,High,2,20,80
10,27,High,2,0,100
10,28,High,2,0,80
10,31,High,2,40,80
10,46,High,2,0,100
10,48,High,2,40,80
10,50,High,2,40,80
10,52,High,2,0,60
10,54,High,2,0,100
10,58,High,2,20,80
10,60,High,2,100,60
10,3,High,3,0,100
10,6,High,3,20,60
10,8,High,3,80,60
10,9,High,3,0,80
10,11,High,3,20,80
10,12,High,3,60,40
10,13,High,3,0,100
10,15,High,3,80,80
10,16,High,3,20,80
10,18,High,3,80,80
10,21,High,3,0,100
10,30,High,3,0,100
10,35,High,3,20,100
10,44,High,3,0,20
10,56,High,3,0,100
11,4,Ambient,1,20,80
11,6,Ambient,1,0,80
11,7,Ambient,1,40,60
11,10,Ambient,1,20,80
11,11,Ambient,1,0,80
11,16,Ambient,1,0,80
11,17,Ambient,1,0,80
11,22,Ambient,1,0,80
11,23,Ambient,1,0,60
11,25,Ambient,1,0,100
11,34,Ambient,1,0,100
11,35,Ambient,1,20,80
11,49,Ambient,1,0,100
11,57,Ambient,1,20,100
11,3,Ambient,2,20,100
11,8,Ambient,2,0,80
11,9,Ambient,2,0,80
11,13,Ambient,2,0,100
11,14,Ambient,2,20,100
11,15,Ambient,2,0,80
11,18,Ambient,2,0,100
11,20,Ambient,2,0,80
11,24,Ambient,2,0,100
11,31,Ambient,2,0,60
11,32,Ambient,2,0,100
11,47,Ambient,2,0,40
11,53,Ambient,2,0,80
11,59,Ambient,2,80,80
11,1,Ambient,3,0,80
11,2,Ambient,3,0,80
11,5,Ambient,3,20,80
11,12,Ambient,3,60,60
11,19,Ambient,3,0,100
11,21,Ambient,3,0,100
11,26,Ambient,3,0,100
11,27,Ambient,3,0,100
11,28,Ambient,3,20,60
11,29,Ambient,3,0,100
11,30,Ambient,3,0,40
11,33,Ambient,3,0,0
11,51,Ambient,3,40,60
11,55,Ambient,3,20,80
11,1,High,1,0,80
11,2,High,1,0,40
11,5,High,1,0,80
11,17,High,1,0,100
11,20,High,1,0,60
11,23,High,1,0,60
11,24,High,1,0,100
11,29,High,1,0,100
11,32,High,1,20,80
11,33,High,1,0,0
11,34,High,1,0,100
11,4,High,2,0,100
11,7,High,2,60,60
11,10,High,2,40,80
11,14,High,2,0,60
11,19,High,2,0,100
11,22,High,2,0,80
11,25,High,2,0,80
11,26,High,2,20,80
11,27,High,2,0,100
11,28,High,2,0,80
11,31,High,2,0,60
11,46,High,2,0,100
11,48,High,2,0,80
11,50,High,2,0,80
11,52,High,2,0,80
11,54,High,2,0,100
11,58,High,2,0,100
11,60,High,2,0,80
11,3,High,3,0,100
11,6,High,3,0,80
11,8,High,3,0,60
11,9,High,3,0,80
11,11,High,3,0,80
11,12,High,3,60,60
11,13,High,3,0,100
11,15,High,3,0,80
11,16,High,3,0,80
11,18,High,3,0,100
11,21,High,3,0,100
11,30,High,3,0,100
11,35,High,3,0,100
11,44,High,3,0,40
11,56,High,3,0,100
12,4,Ambient,1,0,60
12,6,Ambient,1,0,80
12,7,Ambient,1,20,80
12,10,Ambient,1,20,80
12,11,Ambient,1,0,80
12,16,Ambient,1,0,80
12,17,Ambient,1,0,80
12,22,Ambient,1,0,100
12,23,Ambient,1,0,40
12,25,Ambient,1,0,100
12,34,Ambient,1,20,100
12,35,Ambient,1,0,100
12,49,Ambient,1,0,100
12,57,Ambient,1,20,100
12,3,Ambient,2,0,100
12,8,Ambient,2,20,80
12,9,Ambient,2,0,100
12,13,Ambient,2,0,100
12,14,Ambient,2,0,100
12,15,Ambient,2,0,80
12,18,Ambient,2,20,100
12,20,Ambient,2,40,80
12,24,Ambient,2,40,100
12,31,Ambient,2,20,80
12,32,Ambient,2,0,100
12,47,Ambient,2,0,60
12,53,Ambient,2,0,80
12,59,Ambient,2,40,100
12,1,Ambient,3,0,100
12,2,Ambient,3,0,80
12,5,Ambient,3,0,80
12,12,Ambient,3,60,60
12,19,Ambient,3,0,100
12,21,Ambient,3,0,100
12,26,Ambient,3,0,100
12,27,Ambient,3,0,100
12,28,Ambient,3,0,80
12,29,Ambient,3,0,100
12,30,Ambient,3,0,100
12,33,Ambient,3,0,0
12,51,Ambient,3,20,60
12,55,Ambient,3,0,80
12,1,High,1,0,80
12,2,High,1,0,60
12,5,High,1,20,80
12,17,High,1,0,100
12,20,High,1,0,60
12,23,High,1,20,80
12,24,High,1,0,100
12,29,High,1,40,80
12,32,High,1,20,100
12,33,High,1,0,0
12,34,High,1,0,100
12,4,High,2,20,100
12,7,High,2,60,60
12,10,High,2,20,80
12,14,High,2,0,40
12,19,High,2,20,80
12,22,High,2,0,100
12,25,High,2,40,80
12,26,High,2,0,100
12,27,High,2,0,100
12,28,High,2,0,80
12,31,High,2,20,60
12,46,High,2,0,80
12,48,High,2,0,80
12,50,High,2,0,80
12,52,High,2,0,60
12,54,High,2,0,100
12,58,High,2,0,100
12,60,High,2,40,80
12,3,High,3,0,80
12,6,High,3,0,80
12,8,High,3,0,60
12,9,High,3,20,100
12,11,High,3,20,80
12,12,High,3,100,40
12,13,High,3,0,100
12,15,High,3,20,80
12,16,High,3,0,80
12,18,High,3,0,100
12,21,High,3,0,100
12,30,High,3,0,100
12,35,High,3,0,100
12,44,High,3,0,20
12,56,High,3,0,80
13,4,Ambient,1,0,80
13,6,Ambient,1,0,80
